,text,label
156,What happens when Popeye 's runs out of chicken YouTube - Popeyes Freakout ( Ghetto Vers .,noHate
157,"2.0 ) * Does contain alot of profanity , so you have been forewarned *",noHate
158,Negro rainforest `` music ''.,noHate
159,"( If you click the video , the video comments are full of self-hating whites ) : YouTube - BAKA RAINFOREST PEOPLE YODELLERS",noHate
160,What the ...,noHate
161,"Non-Muslim Michigan High School students wear hijabs in school for class lesson to `` explore religion and identity '' | Pamela Geller , Atlas Shrugs",noHate
162,I have n't been able to finish watching even one of these videos .,noHate
163,As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,hate
164,That would be too expensive .,noHate
165,Thanks.,noHate
166,I hope this will catch on like the 14 words .,noHate
167,If anyone wants to post it in other forums feel free to do so .,noHate
168,"It is very hard for average Whites to see their own disenfranchisement , let alone realize that it is planned .",noHate
169,This is because much of the disenfranchisement is by way of destroying White cultural identity and pride .,noHate
170,So contributing and participating in any way to opportunities to instill pride in White ethnic heritage and even White American ethnic heritage will go a long way in helping them recognize what is being taken away .,noHate
171,Pffffft!,noHate
172,"Ive seen that crap too , and thought WTF ?",noHate
173,I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,hate
174,The only thing holding us back are our traitors and the 40billion anti-european people of the earth that flourished on our technology .,noHate
175,"Thanks for saving the picture but the one I saw was a black guy looking at a laptop and a White girl sitting next to him , laughing and hanging on him also looking at the laptop but they did n't show what was on the laptop .",noHate
176,They were in a living room sitting on the couch implying that they were a couple .,noHate
177,Its really sad how so many whites just don`t even care and there actually happy that this is coming to be .,noHate
178,There's more sex and sleaze condensed on the shelves of the check out line than you 'll get in 2 hours of TV - and 2 hours of TV is lethal to your spirit !,noHate
179,"And her husband is Tom Brady , this good-looking White Nordic guy : Here 's a photo of them with their ( white ) children :",noHate
180,I actually celebrate Black History Month .,noHate
181,I have a dream - one of these days Black occupation of America will be history !,hate
182,"Pathological killers , they are .",hate
183,Jews have been poisoning wells since Biblical times .,hate
184,No wonder we are in such bad shape with this tribe in charge of the White House and Congress .,hate
185,The Jew represents the snake .,hate
186,All you need is to cut off it 's head and the rest of the problems will crumble away with ease,hate
187,"I hate to see such beautiful white females become victims of these sick , violent merciless animals .",hate
188,Separation is the only answer !,hate
189,White Power !,noHate
190,White Americans and White Europeons have too few children .,noHate
191,Other than the Amish no other group of whites have large families .,noHate
192,Honestly the better idea is private schools for our people ; the average parent is a poor teacher .,noHate
193,The muslims have ultra strict racialist private schools the world over ; why do n't whites ?,noHate
194,While they are in prison the kikes should get the same food the regular prison population gets ...,hate
195,Who the hell cares if its not kosher ...,hate
196,This is n't the local 4 diamond Hilton situated on some sunny beach ...,noHate
197,"i've felt anger when i 've read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i 'm from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !",hate
198,We dont care about Alaska while it is not white land .,noHate
199,We are more concerned about ZOG controlling US and Russia .,hate
200,"Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ?",hate
201,"Another EuroRus update , more video and photos ! [ gvideo ] http://video.google.com/videoplay ? docid = 5268894597794277031 [ /gvideo ] A Fascinating Conversation Between Dr. Alfred Vierling & Dr. Duke !",noHate
202,"Kris Roman , Jan Kristel , Dr. Alfred Vierling , Dr. David Duke , Thiery Van Roy , Frederik Ranson , Andreas Thierry , Stephanos Gekas .",noHate
203,Robert Steuckers and Dr. David Duke Gunther Van Den Eynde en Dr. David Duke Euro-Rus 2008 !,noHate
204,"Euro-Rus Евро-Русь For a great Europe , from Gibraltar to Vladivostok !",noHate
205,http://www.eurorus.org/,noHate
206,What would you have done instead ?,noHate
207,"Ignore the genocide on Serbs , turn your back on your own people .",noHate
208,Then you are a traitor .,noHate
209,"Ivan Ivanovich Shishkin , January 25 , 1832 March 20 , 1898 ( Иван Иванович Шишкин ) Felling of Forest , 1867 Landscape with a Lake At the Seashore , 1890 ( sketch ) Birch Grove , 1896 View at a Neighborhood of Petersburg , 1856 Swiss Landscape , 1866 Forest on the Eve of Thunderstorm , 1872 Oak Forest in a Grey day , 1873 ( sketch ) Swamp .",noHate
210,"Woodlands , 1890 Rain in an Oak Forest , 1891",noHate
211,"Finns mixed with swedes and got blond hair and blue eyes , but ethnical finn look like tatar : dark hair , dark eyes , short height , round face .",noHate
212,The reasons : Alcoholism takes around 150000 lives every year .,noHate
213,Aids - around 20000 every year .,noHate
214,Emmigration - around 50000-100000 per year .,noHate
215,Heart diseases - around 100000 per year .,noHate
216,High mortality rate - like country is at war .,noHate
217,Lowest birthrate in world .,noHate
218,"http://www.guardian.co.uk/russia/art...772175,00.html Attaboy , Putin .",noHate
219,"If I were in the audience , I 'd clap till my hands were numb .",noHate
220,That 's telling worthless s.o.b.s like Cheney what they can do with their cheap words and crocodile tears .,noHate
221,I have long loved Tchaikovsky ballets and Mussorgsky operas and now I enjoy Russian traditional music as well .,noHate
222,"I just bought two CD 's featuring the Russian Radio Chorus Orchestra , Orchestra Vladimir Avramow , and St. Petersburg Balaika Ensemble playing such songs as St. Petersburg , Why Should I Be Sad , Dark Night , The Long Way , Wolga , So Many Days , Nastassja , Two Guitars , Fields , Hai-Da Trojka , Bandura , Tschubtschik , Troika , The Cossack , Our Little Village , Stenka Rasin , and many others .",noHate
223,"I was recently in Zaporojie , Ukraine , which has a famous Cossack enclave , where I had the opportunity to dine at a Cossack restaurant and listen to traditional Cossack music played live .",noHate
224,Listening to this music brings back memories of all my visits to Russia and Ukraine .,noHate
225,Oh so we cannot post on this subject because at this moment in time we are not in the same AREA as you .... WHATEVER So I will wait maybe untill next spring when I go to LODZ And JP should wait untill he starts school this winter in Bratislava THEN can we post ?? ......... PLEASE SIR,noHate
226,"I keep telling people about things like this , and they never believe me .",noHate
227,I want to show them this thread .,noHate
228,This is great !,noHate
229,It was until Kveldulf saw fit to open it up again with his unnecessary comments .,noHate
230,I have to go to work now .,noHate
231,Hispanic: A woman threw her 2 1/2-year-old granddaughter several stories to her death from a walkway at a shopping mall http://www.news4jax.com/video/25962136/index.html negro : -- Police arrested a 17-year-old who they said burglarized a home over the Thanksgiving weekend .,noHate
232,"Jacksonville police said Brian Williams broke into the home on Braddock Road while the family was out of town and baked brownies , drank orange juice , surfed porn websites and loaded up the victim 's car with bottles of liquor .",noHate
233,http://www.news4jax.com/news/25976955/detail.html,noHate
234,SEX: MALE RACE : BLACK D.O.B : 08-24-1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from `` Planet of the Apes '' !,hate
235,LOL,noHate
236,"You can have your site on Odins Rage but host your picture and zip files somewhere else like geocities.com , cause Odins Rage doesnt give much room .",noHate
237,"Don't want to ruin the spirit of the mood , but are n't Russians for the most part Orthodox Christian , and they have a different day for Christmas ?",noHate
238,"I think it is January 6'th or 7'th , not the same as us .",noHate
239,Because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew - communist wanted .,hate
240,"Couple Befriend Negroid , Negroid Tries To Burn Down Couples Home - NNN Reporters Newsroom Forum Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire Reported by : Irika Sargent Last Update : 4/25 9 : 01 pm Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire | Local15tv.com , Mobile & Pensacola News , Entertainment , Videos , Business Search and Shopping This is what happens when you make friends with spearchuckers .",hate
241,"http://www.newnation.vg/forums/showthread.php?p=325910 Coach Accused Of Fondling Student Student 's Mother Alerts Deputies After Finding Note POSTED : Monday , March 8 , 2010 UPDATED : 9 : 42 am EST March 9 , 2010 * * * Pedophile Alert * * * Robert Bennett. http://www.clickorlando.com/educatio...82/detail.html",noHate
242,Just got turned on to a website from a friend of mine .,noHate
243,Shows some interesting statistics about the jew rats ...,hate
244,http://ifamericaknew.org/,noHate
245,It's sort of like the Black computer genius that only appears with any ubiquity on television or in the cinema .,noHate
246,"I know they 're probably out there , but I 've never met a Black IT professional who was n't exclusively in sales .",noHate
247,Have you ever heard about death mask of Franco ?,noHate
248,"One day I have seen it on EBay , but I 'm not sure about authenticity of the mask .",noHate
249,Is this group in Sweden genuine or are they thieves who steal money but never send the goods you order ?,noHate
250,Can any Swedish comrades tell me about them ?,noHate
251,"She is white but looks somewhat below average for a white Swedish girl , I think .",noHate
252,Why do the Swedes hide their best looking females ?,noHate
253,I must just say before this thread possibly dies that I have great fear that without action the cause will die along with the rise of multiculturatism,noHate
254,Glædelig jul !,idk/skip
255,"My Norwegian uncle has been visiting , and he has shared with us some things about Christmas celebrated in Norway ...",noHate
256,Interesting .,noHate
257,"I also have been talking to a person from Denmark , and I learned about gingerbread , dancing around the tree , and the various customs of Jul ( Dinner , place presents under the tree , desert , dance around tree , open presents ) .",noHate
258,"I found it to be pretty interesting , and I hope you all had a Gædelig jul !",noHate
259,Ca n't wait until tomorrow !,noHate
260,I had actualy written th epost for last summer but had to cancel my trip ... so it is 2005 !!! ok every body cool ? * L * Shann 2508,noHate
261,"LOL, ok I give up I just had never heard that specific word before and it was n't in my dictionary .",noHate
262,And since I 'm not really Sture Allén or Horace Engdahl I ca n't say if it 's in Svenska Akademins Ordlista .,noHate
263,i think some of you are a bit wrong on this one since Our Race Is Our Nation when will you learn ?,noHate
264,It makes me so damn angry that the swedes ca n't see it !!!,noHate
265,The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex,hate
266,"The only thing manipulated here are the minds of few foreigners , who reckon they can live amongest superiour , pagan blood .",hate
267,"Det er forresten en ting til Órkneyjar vil si deg , `` Tack så mycket . ''",idk/skip
268,What say you of Jotunheim ?,noHate
269,Do you have any figures on this ?,noHate
270,I 'm pretty sure that tens of billions are sent abroad every year even though 50 + % stays in Sweden .,noHate
271,"Hmm... let 's try again , viewing by number of asylum seekers per 1,000 population .",noHate
272,These are much more important in my estimation .,noHate
273,"For instance , the U.S. lets in about 900,000 people legally every year , while Canada lets in about 225,000 .",noHate
274,"However , in per-capita rates , U.S. legal immigration is at about 3 per 1,000 annually , while for Canada it 's about 7 .",noHate
275,"Thus , shockingly , Canada may actually achieve a non-white majority before the U.S. does .",noHate
276,"Denmark : 2.3 ( 2001 ) , 1.1 ( 2002 ) , 0.9 ( 2003 ) , 0.6 ( 2004 ) . ( assuming population of 5.4 million ) Good job Denmark !",hate
277,Let 's see it get down to zero !,noHate
278,"Norway : 3.3 ( 2001 ) , 3.9 ( 2002 ) , 3.5 ( 2003 ) , 1.8 ( 2004 ) . ( assuming population of 4.5 million ) Sweden : 2.6 ( 2001 ) , 3.7 ( 2002 ) , 3.5 ( 2003 ) , 2.6 ( 2004 ) . ( assuming population of 8.9 million ) Iceland is at about 0.2 .",noHate
279,"Finland , however , used to be very low , but it 's now higher than Denmark and nearly as high as Norway .",noHate
280,"By per capita take-ins , Norway was the worst in 2001 , but apparently the Norwegians cracked down in 2004 and they 're now lower than Sweden 's rate .",noHate
281,Aragorn,noHate
282,That is good news When i was in Norge ..,noHate
283,The only Blacks i saw were Somalies .. and they 're a cross mix of Black and Arabs .,noHate
284,"No, it 's not possible .",noHate
285,Read the earlier posts and see that there are still lots of non-whites coming to Denmark .,noHate
286,I do n't dare to look at them !,noHate
287,You should see what my grandma 's hair looked like 50 years ago ...,noHate
288,"Eldritch and myself went early to the harbour , but all the boats were cancelled on account of rough weather .",noHate
289,"One day , brother ... one day .",noHate
290,I've seen on the web he is making a new horror film called `` it waits '' but cant find that much about it,noHate
291,I thought they agreed they wouldn t do the Salem march this year because his parents didn t want the media attention ?,noHate
292,Jag har inte själv varit med någon gång men jag har stor respekt för de som deltar .,idk/skip
293,"Why, are you afraid that your son might come and find you drunk in a bar 20 years later and try to kill you or something ...",noHate
294,"Damn, Finland is closing in on Sweden in this poll !",noHate
295,But you are most welcome anyway Ugric _ Warspirit .,noHate
296,Suomalainen totta kai !,idk/skip
297,i get what your saying and there are thousands of non irish here who will never contribute anything to this land .,hate
298,The folk im talking about have been shoulder to shoulder with me for a long time and i will continue to show loyalty and respect to them as they have more than earned it 828,noHate
299,"unless you are a tourist or here the study for a year or two please just go back Russian , we dont need or want more slavs",hate
300,What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .,hate
301,I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,hate
302,Reminds me of an old joke .,noHate
303,"Whats the difference between St. Patrcks Day , and Martin Luther King Day ? ........................... On St. Patricks day every body wishes they are Irish .",noHate
304,Im sorry that many people in my country are stupid .,noHate
305,They feel the need to close down a prison full of terroris / people who aided in the killing of our soldiers and scatter them all around the world. ??????????????????,noHate
306,and the Poles decide to up and leave therefore devastating the Irish economy as every man and his dog are telling us what are the potential ramifications for our welfare scrounging visitors from far ashore ?,noHate
307,"No I was asking for a link for were it says their banning the celtic cross , but thanks for the link i 'll check it out .",noHate
308,Cheers,noHate
309,If they have some marches and what not about showing pride in their culture you guys should go out and do the same If you could try and contact people you know in different cities and see if their willing to do the same .,noHate
310,"good luck NoRemorseNoRegrets , hopefully its good news about your job and lets hope you dont become another figure in a stat !",noHate
311,"I posted a thread in Stormfront Ireland the week before about english hooligans slashing an Irish mans throat , the thread dissappeared without explanation .",noHate
312,A crude drawing of a swastika on a wall with spraypaint will only make neutral people associate nazi 's with common lowlife scum .,noHate
313,Can a mod also change the thread title so it says the 10th ? dont want people showing up 10 days late,noHate
314,Watching those videos makes me feel like im going to explode with hatred for those creatures .,hate
315,A feel a mix of intense hate and depression that we have let things degenerate so far .,noHate
316,From what I know they 're almost exclusively Nigerian asylum seekers .,noHate
317,"They have a few of their own shops , a food shop by the bus/train station and a clothes shop where they sell FUBU and other assorted gangsta rap crap .",noHate
318,This filth is a sectarian British song not an Irish folk song the sort of scum who wrote and admire this filth have no place on a WN forum yet alone an Irish forum,hate
319,Thanks for that Limerickpit I have put that on my planner no doubt it will be a total destoration of the facts !!,noHate
320,"During the early punk scene , he was always seen decked out in a Union flag blazer , then all a sudden , an instant nationality transplant .",noHate
321,well done at least someone is getting off their arse and taking action rather then sitting behind a computer being a cyber warrior.i hope others will follow suit,noHate
322,So if a fellow white man rapes my daughter or kills my brother I should let it go because he is white ?,noHate
323,Its a disgrace my sister has been on the waiting list for 6 years and their giving away houses to these scumbags,hate
324,Most of the info on this site is out of date but it has some interesting information on the groups/orgs that have come and gone over the years .,noHate
325,http://www.tau.ac.il/Anti-Semitism/a...-4/ireland.htm,noHate
326,the younger limerick crowd say the gangs from moyross are in regular fights with the poles they go around in tens and when they meet all hell breaks lose its very like in east germany with the poles and working class irish .,noHate
327,"I was away for the weekend that is why I did get around to posting my blood group ( I do n't see why I should bother anyway ) BTW , I am in blood group `` O ''",noHate
328,The Church of Ireland Archbishop of Dublin has called for an amnesty for immigrants who have been in Ireland for five years or more without their status being resolved .,noHate
329,http://www.thepost.ie/post/pages/p/s...726-qqqx=1.asp,noHate
330,Thanks It may not seem like much but just puting one of those leaflets up on a noticeboard gets a lot of people talking .,noHate
331,"No it is not a joke , we have a very high standard education system here in Ireland ..",noHate
332,It is as good as anywhere in the world ..,noHate
333,"Thankfully, the C.W. Camp-Out will go ahead this year .",noHate
334,"Unfortunately , we missed out last year but this year s occasion will definitely make up for it .",noHate
335,"Beautiful scenery , music , campfire and good , true company .",noHate
336,Looking forward to it !,noHate
337,"Regards , Draiodoir .",noHate
